,0,1,2,3,4
0,40.72371,-73.95097,Greenpoint,US,America/New_York
1,41.48199,-81.79819,Lakewood,US,America/New_York
2,30.17746,-81.38758,Palm Valley,US,America/New_York
3,41.72059,-87.70172,Evergreen Park,US,America/Chicago
4,33.93113,-117.54866,Norco,US,America/Los_Angeles
5,33.03699,-117.29198,Encinitas,US,America/Los_Angeles
6,41.0051,-73.78458,Scarsdale,US,America/New_York
7,42.4251,-71.06616,Malden,US,America/New_York
8,34.09668,-117.71978,Claremont,US,America/Los_Angeles
9,40.72816,-74.07764,Jersey City,US,America/New_York
10,40.65995,-111.99633,Kearns,US,America/Denver
11,38.91817,-78.19444,Front Royal,US,America/New_York
12,32.9156,-117.14392,Mira Mesa,US,America/Los_Angeles
13,34.25628,-78.04471,Leland,US,America/New_York
14,41.85059,-87.882,Westchester,US,America/Chicago
15,34.25628,-78.04471,Leland,US,America/New_York
16,32.52515,-93.75018,Shreveport,US,America/Chicago
17,47.4943,-122.24092,Bryn Mawr-Skyway,US,America/Los_Angeles
18,41.15376,-87.88754,Bourbonnais,US,America/Chicago
19,33.95015,-118.03917,South Whittier,US,America/Los_Angeles
20,46.32374,-120.00865,Sunnyside,US,America/Los_Angeles
21,39.71734,-74.96933,Sicklerville,US,America/New_York
22,41.9001,-71.08977,Taunton,US,America/New_York
23,38.96372,-76.99081,Chillum,US,America/New_York
24,38.58894,-89.99038,Fairview Heights,US,America/Chicago
25,42.7392,-84.62081,Waverly,US,America/Detroit
26,33.92946,-116.97725,Beaumont,US,America/Los_Angeles
27,31.84568,-102.36764,Odessa,US,America/Chicago
28,38.96372,-76.99081,Chillum,US,America/New_York
29,40.94065,-73.99681,Dumont,US,America/New_York
30,40.24537,-75.64963,Pottstown,US,America/New_York
31,43.91452,-69.96533,Brunswick,US,America/New_York
32,40.81,-73.9625,Morningside Heights,US,America/New_York
33,26.18924,-98.15529,San Juan,US,America/Chicago
34,32.42067,-104.22884,Carlsbad,US,America/Denver
35,34.09668,-117.71978,Claremont,US,America/Los_Angeles
36,43.61062,-72.97261,Rutland,US,America/New_York
37,37.73604,-120.93549,Riverbank,US,America/Los_Angeles
38,41.72059,-87.70172,Evergreen Park,US,America/Chicago
39,32.54044,-82.90375,Dublin,US,America/New_York
40,39.57582,-105.11221,Ken Caryl,US,America/Denver
41,26.68451,-80.66756,Belle Glade,US,America/New_York
42,29.84576,-90.10674,Estelle,US,America/Chicago
43,40.63316,-74.13653,Port Richmond,US,America/New_York
44,37.71715,-122.40433,Visitacion Valley,US,America/Los_Angeles
45,33.45122,-86.99666,Hueytown,US,America/Chicago
46,40.81,-73.9625,Morningside Heights,US,America/New_York
47,33.7207,-116.21677,Indio,US,America/Los_Angeles
48,45.0408,-93.263,Columbia Heights,US,America/Chicago
49,41.6764,-91.58045,Coralville,US,America/Chicago
50,42.97086,-82.42491,Port Huron,US,America/Detroit
51,33.08014,-83.2321,Milledgeville,US,America/New_York
52,29.53885,-95.44744,Fresno,US,America/Chicago
53,43.54072,-116.56346,Nampa,US,America/Boise
54,37.60876,-77.37331,Mechanicsville,US,America/New_York
55,41.55815,-73.0515,Waterbury,US,America/New_York
56,35.88264,-80.08199,Thomasville,US,America/New_York
57,39.72943,-104.83192,Aurora,US,America/Denver
58,44.27804,-88.27205,Kaukauna,US,America/Chicago
59,29.84576,-90.10674,Estelle,US,America/Chicago
60,38.06084,-97.92977,Hutchinson,US,America/Chicago
61,42.30865,-83.48216,Canton,US,America/Detroit
62,33.93113,-117.54866,Norco,US,America/Los_Angeles
63,34.14251,-118.25508,Glendale,US,America/Los_Angeles
64,39.33427,-76.43941,Middle River,US,America/New_York
65,42.4251,-71.06616,Malden,US,America/New_York
66,32.42067,-104.22884,Carlsbad,US,America/Denver
67,41.47892,-87.45476,Schererville,US,America/Chicago
68,37.95143,-91.77127,Rolla,US,America/Chicago
69,39.57582,-105.11221,Ken Caryl,US,America/Denver
70,45.0408,-93.263,Columbia Heights,US,America/Chicago
71,36.91023,-121.75689,Watsonville,US,America/Los_Angeles
72,26.18924,-98.15529,San Juan,US,America/Chicago
73,46.32374,-120.00865,Sunnyside,US,America/Los_Angeles
74,39.57582,-105.11221,Ken Caryl,US,America/Denver
75,40.34912,-111.90466,Saratoga Springs,US,America/Denver
76,41.75338,-86.11084,Granger,US,America/Indiana/Indianapolis
77,43.61062,-72.97261,Rutland,US,America/New_York
78,29.84576,-90.10674,Estelle,US,America/Chicago
79,47.38093,-122.23484,Kent,US,America/Los_Angeles
80,40.72371,-73.95097,Greenpoint,US,America/New_York
81,42.30865,-83.48216,Canton,US,America/Detroit
82,44.99012,-123.02621,Keizer,US,America/Los_Angeles
83,41.55815,-73.0515,Waterbury,US,America/New_York
84,41.47892,-87.45476,Schererville,US,America/Chicago
85,31.12406,-97.90308,Copperas Cove,US,America/Chicago
86,29.53885,-95.44744,Fresno,US,America/Chicago
87,31.12406,-97.90308,Copperas Cove,US,America/Chicago
88,28.15112,-82.46148,Lutz,US,America/New_York
89,40.81,-73.9625,Morningside Heights,US,America/New_York
90,41.72059,-87.70172,Evergreen Park,US,America/Chicago
91,34.21639,-119.0376,Camarillo,US,America/Los_Angeles
92,33.54428,-84.23381,Stockbridge,US,America/New_York
93,36.61033,-88.31476,Murray,US,America/Chicago
94,34.25807,-88.70464,Tupelo,US,America/Chicago
95,39.43534,-84.20299,Lebanon,US,America/New_York
96,26.2173,-80.22588,North Lauderdale,US,America/New_York
97,38.06084,-97.92977,Hutchinson,US,America/Chicago
98,36.91023,-121.75689,Watsonville,US,America/Los_Angeles
99,40.68066,-73.47429,Massapequa,US,America/New_York
